channelName,subscribers,views,totalVideos,playlistId
RICHY HANIEL,1440000,306699298,2308,UUdM2hN2cxe1Ux0Bcn4Hslpg
Benzema Official,95000,7856140,72,UUY_kDUpfoqcrUQExsdKTX_g
Charisma KE,27000,5028718,52,UUaTYJcqWO4Y9e_-2nsDlmYA
Dyana Cods,28300,3093269,17,UUGCQW42TYud4pt-ois0Hq7Q
Ken Wa Maria,101000,23215462,409,UU3DgpJvB_izWfN56ZKCVSzA
Elani Muziki,112000,23686046,74,UU-upv67O6BrZuKh1HRIq6zg
Lil maina ,147000,20380309,27,UU7UzatNIfKhrw4wG8DiJkaQ
Guardian Angel Global,687000,157799827,622,UUdPgo0qkTA5-PKq3YwRk5Gw
Ssaru,129000,7767233,39,UU7dCFKu_W8-veV354axaPOg
Khaligraph Jones,835000,109765040,104,UURRSCAz5VJQqJHAIPgFVCxw
Official Masauti,268000,39088784,132,UUsYg_Sejxwi0nXe2ztzCXlw
Chris Kaiga,95700,15061599,10,UUsmPEw8gG-tmNJn_UzKwcWA
Bien,179000,29172354,43,UUYKXCpJbGe3fTYILjpJgW2A
Tanasha Donna,315000,13973741,10,UUkBwgeT9gHVzALlMvQKi_ug
Xenia Manasseh,17300,3974618,42,UUibcaePXd9ZIz3k9lTQvVRQ
SAMMY IRUNGU,373000,95968177,64,UUikr3kOessKQkIMr2S3Pm4w
Akothee Kenya,447000,65930475,309,UU8NZHJl-gfDZxbBvmL0vCXQ
Femi One,294000,28910125,116,UUYGgbbl6veQIN9Hn0RhVX6A
Brandy Maina,32900,3193110,44,UU7xlWEZWav-khk4IjevJX_Q
Sauti Sol,1110000,343198952,258,UUBZPPYU_l99Mg6-GXm6xbMg
SHIRU WA GP . HSC,496000,149490350,163,UU12i9YDDwHaAKTBcQKzSFVw
Dr. Sarah K music,384000,98191570,80,UUA-YlSjCrIdvEw6ivKRJeJg
Prince Indah,479000,115040980,65,UUwN-NLEsOx7cCiBeGap9LSA
Otile Brown Official,1510000,408409512,110,UUvA_SWl8Ti3hvbmJyrLFqZQ
Victoria Kimani,74300,13620990,122,UUcegJZ-0FZcby0gsI4LAnGg
BURUKLYN BOYZ,223000,32692043,82,UUoJ0b8z-FS_tuissbov-UUA
Willy Paul Thee Pozze,1220000,263410473,236,UUgdVgtJQXxebSiSAzlhYczw
Stephen Kasolo Official,671000,135299612,1798,UUcEIuIasgNTRoxjk5lI_t6A
Nyashinski,663000,152191820,50,UUNzd8n4UapaAtrhC062RxDQ
Mercy Masika,259000,47902987,63,UUn9mRGNo0CYj7nE6MepnWOQ
Wanavokali,61500,9536437,42,UUux-vyrlxszhL7JKm870sdA
Wakadinali,437000,85381547,125,UUNB-IDvDxuuiX2ghjNft5AQ
Lil Baliil,748000,86494447,79,UUP6LRxQqx1wMNqlggF5qa_A
HARRY CRAZE,71200,15495534,193,UUGKRuOHpEl12cYYlJUO8nvw
Sanaipei Tande,169000,19534568,24,UUihe5asUQZ32dqD0mOBPXog
Bahati Kenya,1360000,269567661,303,UU2O6vD7gjgZIXKVegD6qOHA
JOHN DE'MATHEW,433000,144787351,423,UUWDxHAG4OSFX8JRWiZmQ83w
Sharma Boy,1910000,441303146,153,UUBhPZ6lnTfQZn0bvARil-Xg
H_ART THE BAND OFFICIAL,301000,61196543,183,UUFojdS6BpyQwOBeo0I2WNpQ
Mejja Genge,535000,42849574,9,UUuRGQqKKdPOSPB0XG5VNk5g
Nadia Mukami #AfricanPopStar,636000,92464890,145,UUjXVvJqLERkvsGTB-TKLx6Q
Nviiri the Storyteller,215000,44050417,62,UUEly_O1P_iUpOV-QjsDXccw
King Kaka,485000,51998310,399,UUGTO34YEPTNMwM3ezPCUCIQ
Nikita Kering',224000,18535170,20,UUl1txXouaN3YU8zzNPJP_pA
Ethic Entertainment,391000,53570517,33,UUOEK9oW_VYDHbX3qwT4JMyQ
Fena Gitu,65700,7141519,211,UUmBsqNZEs2KF7PfZvXLd69A
Bensoul,256000,47649906,103,UUCe1fW83L5lfTfUPS11Py1Q
Trio Mio Official,356000,31326401,65,UU_X93AYMCJ3FViwBRyP5LZg
